Table B.2: Population (%) with Improved Water Improved Sanitation and Other Urban Basic Services in Selected Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population (%) with Improved Water Improved Sanitation and Other Urban Basic Services in Cities Selected Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,M49 classification,Country,,Year,Number of Cases,Improved water sources,,,,,,,,,,Total Improved water (d),Access to basic drinking water services (e),Improved sanitation facilities,,,,,,,Total Improved Sanitation (f),Access to basic sanitation services (g),Basic hand-washing facility (h),Durable housing (i),,,Sufficient living area (j),,,,Type of main cooking fuel,,,,,Source
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Denpasar,2002,"1,089",49.2,2.1,51.2,,21.3,,0,0.2,14.4,35.9,87.1,34.4,,,,89.9,0.7,,90.6,95,,,97.3,95,99.9,,38.9,,99.3,0.3,51,0,51.3,47.6,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Jakarta,1991,"5,951",24.8,20.8,45.6,45.3,,,0,,,45.3,90.9,77.7,,,,71.4,8,,79.4,94.1,,,96.8,,,,,,98.4,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Jakarta,1994,"6,676",27.3,24.3,51.5,41,6.4,0,0,,,47.4,99,95.9,,,,56.5,16.3,,72.9,96.4,,,96.9,84.6,88.6,,,,99.2,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Jakarta,1997,"5,991",35.3,18.8,54.1,44,1.2,0,0,,,45.2,99.3,96.5,,,,62.2,12.1,,74.4,96.5,,,97.7,88.1,86.2,,,,99.9,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Jakarta,2002,"4,835",32.4,7.9,40.3,,22.6,,0,7.1,19.3,49,89.3,96.1,,,,73.6,4.9,,78.5,98.6,,,97.7,89,99.6,,47.5,,99.9,0.1,34.2,0,34.4,65.1,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Jakarta,2007,"7,444",33.8,1.7,35.5,0,22.6,0,3.2,4.1,32.6,59.7,95.2,66.4,,0,,77,4,,81,96.1,81,,98.3,99.4,99.8,,76.3,,99.7,0.2,37.3,0.1,37.6,60.4,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Jakarta,2012,"8,616",16.8,2.4,19.2,0,12.7,0,0,2.4,39.4,54,73.2,62.9,,0,,80.3,3.4,,83.8,99.3,,87.3,96.4,98.2,98.5,75,26.1,98,99.7,0.8,89.6,0.4,90.9,6,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Kediri,1991,"4,106",36.8,5.9,42.7,4.4,,,0,,,4.4,47.1,13.2,,,,18.6,40.2,,58.7,62.6,,,81.8,,,,,,84.8,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Kediri,1994,"5,603",12.4,10.4,22.9,27.3,44.5,0,0,,,71.8,94.6,82.6,,,,21.1,28.7,,49.8,63.7,,,85.2,79.8,99.9,,,,94.1,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Kediri,1997,"4,971",18.7,7.6,26.3,34.7,33.9,0,0,,,68.6,94.9,,,,,39.9,10.8,,50.8,64.1,,,90.2,80.3,99.1,,,,98.9,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Kediri,2002,"2,626",30.3,0.2,30.4,,58.3,,0,0,3.3,61.6,92,49.8,,,,66.6,6.3,,72.9,77.6,,,93.3,89.9,99.6,,29.6,,99.9,0,21.3,0,21.3,78.3,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Medan,1991,848,65.4,4,69.5,3.2,,,0,,,3.2,72.7,22.5,,,,74.5,21.2,,95.7,97.2,,,97.4,,,,,,98,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Medan,1994,"1,440",58.2,1.6,59.7,4.3,31.2,0,0,,,35.5,95.2,100,,,,78.5,10,,88.6,100,,,98.8,71,11.2,,,,97.9,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Medan,1997,"1,340",68.7,4.1,72.8,3.2,23.2,0,0,,,26.4,99.2,,,,,82.6,9,,91.7,98.9,,,97.4,68.5,16.6,,,,93.3,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Medan,2002,"4,308",37.7,0.1,37.7,,34.5,,0,0.4,0.8,35.7,73.4,48.7,,,,76.1,9.1,,85.2,88.3,,,95.7,67.5,92.1,,28.1,,93.4,0,20.3,0,20.3,79,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Medan,2007,"3,964",48.3,3.2,51.6,0,24.7,0,0,0.7,6.8,30.4,82,35.2,,0,,70.3,16,,86.3,95.9,86.3,,93.2,99.1,97.1,,69.2,,99.6,0.2,23.5,1.3,25,74.9,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Medan,2012,"4,530",22,1.3,23.3,0,19.7,0,0.1,0.2,11.1,30.6,53.9,33.1,,0,,86.6,5.2,,91.8,96.5,,,96.4,97.6,98.8,78.9,5.1,95.3,99.4,0.5,72.1,0.5,73.1,25.4,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Medan,2017,"4,826",22.3,0.2,22.5,17.5,7,1.1,0,0,50.7,76.3,98.6,98.3,2.7,,0.5,88.1,5.8,,94.3,97,,,99.3,93.8,99.2,81.3,2.4,96.1,99.6,0.3,1.3,,90.6,9.1,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Palembang,1997,901,82.6,5.2,87.8,2.1,8.5,0,0,,,10.5,98.3,82,,,,79.9,13.5,,93.3,99.1,,,70.1,61.6,63.1,,,,,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Palembang,2007,"1,607",18.8,7.4,26.2,0,41.5,0,0.2,1.2,12.3,51.9,78.1,53,,0,,64.2,13.4,,77.7,89.3,77.7,,77.8,99.4,94.6,,57.6,,96.2,0.2,21.9,0.1,22.3,77.7,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Palembang,2012,"1,920",37.1,1.6,38.7,0,16.9,0,4.3,0,4.7,23.4,62.2,14.1,,0,,80.6,3.5,,84.1,94,,,88.6,99.1,98.4,79.9,13.7,95.5,99.8,0,87.4,0,87.4,11.8,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Palembang,2017,"2,066",30.1,0,30.1,7.8,14.4,0.8,0.4,0.9,38.6,62.8,92.9,91.9,2.8,,3.2,83.8,4.3,,91.3,94.2,,,99.1,94.1,98.4,77.2,5.3,98.1,99.2,0.2,0.3,,93.4,6.3,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Pekanbaru,2002,"1,635",9.1,4,13.1,,40.8,,22.9,1.7,4.1,69.6,82.7,82.1,,,,72.5,11.1,,83.6,88.5,,,79.1,56.5,91.5,,35.8,,97.4,0.6,17.6,0,18.2,81.1,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Purwokerto,1997,"1,248",42.6,14.6,57.2,11,31.8,0,0,,,42.8,100,,,,,59.8,8.2,,68,100,,,92.7,70.1,98.4,,,,99.2,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Purwokerto,2002,"4,190",20.5,1.3,21.8,,47.1,,1.3,9.9,2,60.4,82.2,52,,,,58.1,6.9,,65,72.8,,,79.8,73.1,99.6,,12.5,,98.5,0.2,9.5,0,9.7,90,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surabaya,1991,"2,262",39.9,40.7,80.6,14.8,,,0,,,14.8,95.4,86.3,,,,63.7,13.9,,77.7,95.6,,,96.5,,,,,,99.2,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surabaya,1994,"1,743",59.2,34.3,93.5,0,0,0,0,,,0,93.5,83.9,,,,59,14.3,,73.3,100,,,97.6,79.2,96.3,,,,99.8,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surabaya,1997,"1,858",70.3,29.7,100,0,0,0,0,,,0,100,93.6,,,,61.5,16,,77.5,100,,,98.3,91.7,100,,,,,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surabaya,2002,"8,175",27.1,1.9,29,,36.4,,0,8.4,12.6,57.4,86.4,97.4,,,,62.5,3.8,,66.2,72.9,,,94.3,91.3,,,27.6,,,0.3,17.4,0,17.7,81.8,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surabaya,2007,"11,720",16.7,0.8,17.5,0,53.9,0,2,5.3,13,69,86.6,54.8,,0,,63.8,10.6,,74.4,84.5,74.4,,91.1,99.5,,,58.5,,99.3,0.2,14.1,0,14.3,85,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surabaya,2012,"13,861",18.2,2.7,20.8,0,30,0,0,0.7,19.2,43.4,64.3,46.5,,0,,68.3,8.3,,76.6,86.2,,,94.5,98.1,99.6,88.9,8.3,93,99.7,0.1,77.2,0.3,77.6,21.7,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surabaya,2017,"14,036",10.1,0.4,10.5,27.2,11.2,2,0.1,1.7,45.5,87.6,97.7,97.5,5.8,,1.2,83.5,4,,88.7,94.5,,,96.8,96.3,100,93.5,6.5,95.5,99,0.2,1.7,,89.6,9.1,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surakarta,1991,938,42,24.5,66.5,12.4,,,0,,,12.4,78.9,45.2,,,,61.1,17.8,,78.9,97.7,,,93.8,,,,,,95.4,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surakarta,1994,767,4.8,24.3,29.2,9.6,61.2,0,0,,,70.8,,,,,,25.1,2.9,,28.1,55.3,,,77.2,70.8,,,,,98.5,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surakarta,2002,"4,601",7.3,7.7,15,,59.4,,0,3.8,2.3,65.5,80.5,93.6,,,,61.4,7.7,,69.1,71.3,,,89,89.8,99.5,,16.7,,99.8,0,13.3,0,13.3,86.6,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surakarta,2007,"11,531",23.5,10.4,33.9,0,39.7,0,0,8.4,4.2,44.2,78.1,40.6,,0,,62.9,6.1,,69,80.2,69,,88.7,99.9,99.8,,51.4,,96.6,0.1,14.7,0,14.8,84.7,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surakarta,2012,"10,694",17.6,4.3,21.9,0,46.6,0,0.2,1.5,6.9,51.3,73.2,39.4,,0,,68.2,7.7,,75.9,85,,,93.1,98.3,99.3,91.5,10,87.8,99.4,0.7,71.1,0,71.8,26.7,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Surakarta,2017,"11,535",18.4,2.8,21.2,22.1,15.2,7.3,0,1.9,30.6,77,95.4,94.6,4.6,,0.6,82.7,6.5,,89.7,94.3,,,94.3,92.3,99.8,93.1,5.2,94.3,98.6,0.4,0.2,,85.1,14,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Ujung Pandang,2002,"2,414",39.8,29.1,68.9,,22.6,,0,1.5,1.7,25.7,94.6,90.6,,,,88.6,0,,88.6,99.3,,,60.2,56.7,97,,25.9,,100,3.8,32.4,0,36.2,63.8,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Ujung Pandang,2007,"1,865",46.7,10.9,57.6,0,14.3,0,0,1.9,9.5,23.9,81.5,71.4,,0,,80.7,4,,84.7,93.7,84.7,,66.4,90.5,97.1,,68.3,,99.3,1.1,24.9,0,26,73.7,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Ujung Pandang,2012,"2,475",26.7,4.2,31,0,13.9,0,0.6,0.8,4.3,12.7,43.7,17.2,,0,,76.2,1.9,,78.1,92.1,,,66,85.7,95.8,66.4,15,95.2,99.2,0.3,77.5,0.3,78.1,20.9,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Indonesia,Ujung Pandang,2017,"2,122",22.8,0.2,23,8.5,4.5,3.4,0.1,0.8,58.6,75.9,98.7,98,7.7,,0.4,83.8,4.2,,88.3,95.9,,,98.2,94.9,99.1,78.3,6.7,97.9,99.3,0,0.2,,94.5,5.5,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Lao People's Democratic Republic,Luang Prabang,2011,"1,346",24.5,16,40.5,0,0,0,0.2,0,58.4,58.6,99.1,99.1,0,0,0,42.2,52.7,0,94.9,94.9,89.8,,89.6,87.2,95,81.2,33.9,97.2,91.1,4.9,5.4,0,10.3,89.3,UN-Habitat_MICS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Lao People's Democratic Republic,Savannakhet,2011,"3,709",5.6,0,5.6,7.3,10.4,1.1,0.8,0.3,56.2,76.2,81.8,81.8,0.2,0,0,39.7,35.5,0,75.2,75.4,68.9,,92.8,80.2,96.8,66,25.8,93.2,96.9,1,2.3,0,3.3,96.7,UN-Habitat_MICS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Lao People's Democratic Republic,Vientiane,2011,"7,914",15.3,0,15.3,0.9,1.3,0,0,0,82,84.2,99.5,99,3,0,0.3,61.5,34.3,0.2,96.3,99.3,95.6,,99.1,95.5,99.7,87.5,37,99.3,99.4,13.5,12,0.5,26,73.8,UN-Habitat_MICS
Eastern Asia,Eastern Asia and South-eastern Asia,Mongolia,Ulaanbaatar,2005,"9,214",35.7,7.4,43.1,,49.6,2.4,,4.1,,56.1,99.2,88.7,35.3,,6.2,0.1,3.2,51.4,60.9,96.2,63,,21.1,53.5,49.7,49,,67.8,98.9,39.1,0.5,,39.6,60.4,UN-Habitat_MICS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Myanmar,Naypyitaw,2016,842,7.9,2.2,10.1,20.6,8.7,0,0.8,0.2,58.3,88.6,98.7,95.5,1,0,6.6,45.6,24.3,6.9,92.8,93.8,70.7,89,62.1,44.7,98.1,76.1,11.8,95,95.6,61.8,0,0,61.8,37.1,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Myanmar,Yangon,2016,"4,903",8.1,0.9,8.9,10.5,5.5,0,0.7,0.1,69.6,86.4,95.4,79.9,1.4,0,4.5,25.1,35.1,11.3,77,78.5,65.9,97.4,62.3,66.8,99.1,63.2,12.3,97.1,98.5,73.8,1.7,0,75.6,24,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Bacolod,1993,"1,340",36.2,9.1,45.3,,7.7,1.6,0,,,9.3,63.2,36.3,58.8,,,,,,,58.8,,,47.2,,,61.6,,,79.9,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Bacolod,1998,"1,076",32.5,19.3,51.9,,41.5,0,0,2.3,0.5,44.3,96.1,90.7,71.9,,,,,,,71.9,,,60.1,,,64.1,13.3,,79.7,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Bacolod,2003,784,42.4,15.2,57.6,,28,0,0,3.1,11.4,42.4,,99.1,83.6,,,,0,,0,83.6,,,74.7,,,,52.6,50.1,92,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Bacolod,2008,716,45.2,6.1,51.3,15.1,5.6,0.2,0,0,24,44.9,96.2,72.9,4.7,0.2,0,74.7,0,0,74.8,79.6,70.1,,73.7,64.4,87,73.2,16.6,79.8,86,0.2,16.5,0,16.6,83.4,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Cagayan,1998,129,25,4.3,29.3,,55.3,0,0,0,4.3,59.6,88.8,75,98.4,,,,,,,98.4,,,64.4,,,57.4,6.9,,92,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Cagayan,2003,171,24.1,0,24.1,,63.1,0,0,0,5.2,68.3,92.4,80.6,98.1,,,,0,,0,98.1,,,71,,,,37.4,37.4,71.5,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Cagayan,2008,294,13.1,0,13.1,18.7,23.7,0,0,0,34.9,77.4,90.5,77.3,0,14,0,76.1,8.7,0,98.8,98.8,70.7,,79.3,77.7,93.3,65.4,14.5,80,92.1,0,36.4,0,36.4,63.6,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Cagayan,2013,336,2.3,1.8,4.1,20.8,4.9,0,0,0,70.3,95.9,,,0,0,0,92.6,6.2,0,98.7,98.7,76.9,,92.3,91.5,,81.5,13.3,95.9,97.9,1,65.9,0,66.9,32.8,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Cebu,1993,"2,349",32.7,17.8,50.5,,11.4,0.1,0,,,11.5,74.8,37.8,75.9,,,,,,,75.9,,,52,,,55.3,,,88.6,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Cebu,1998,"1,720",41.7,14.6,56.3,,29.1,1.8,0,0,1.2,32.1,88.4,73.3,77.3,,,,,,,77.3,,,65.2,,,70.5,25.2,,85.8,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Cebu,2003,"2,027",50.6,13.6,64.3,,19.5,0.2,0,0,12.6,32.4,96.6,85.8,84,,,,0.6,,0.6,84.7,,,69.6,,,,51.3,46.6,90.4,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Cebu,2008,"1,648",22.5,3.4,25.9,8.5,6.9,0.2,0,0.8,57.3,73.7,99.5,,0,0,0,81.1,4.3,0,85.5,85.5,57.8,,78.1,71.8,98.6,66.9,24.6,83.1,94.4,1.3,39.8,0.4,41.5,57.5,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Cebu,2013,"2,125",11.1,2.6,13.7,9,2.5,1,0,0,73.5,86.1,99.8,94.7,2.4,0,0,82.7,2,0,84.7,87.1,68.9,,81.9,70.9,94.1,69.1,16.6,88.4,89.2,3.5,33.1,0,36.6,62.2,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Metro Manila,1993,"9,932",72.6,9.5,82,,1.7,0,0,,,1.7,88.1,54.1,77.1,,,,,,,77.1,,,73,,,58.5,,,98,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Metro Manila,1998,"9,983",67.8,12.5,80.3,,7.2,0.1,0,7.6,4,18.9,99.2,83.1,92.3,,,,,,,92.3,,,85.9,,,66.7,48.1,,98.9,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Metro Manila,2003,"8,861",63.5,11.7,75.3,,7.5,0.2,0,2.3,14.5,24.5,99.8,95.2,97.9,,,,0.2,,0.2,98.1,,,76.5,,,,64.4,60.8,99,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Metro Manila,2008,"9,219",46,2.8,48.8,1.6,0.2,0,0,0.5,48.7,51.1,99.9,95.4,4.2,0,0.1,92.4,0.1,0,92.9,97.1,77.8,,88.9,84.3,99,57.2,34.2,88.3,98.1,3.1,72.6,0,75.7,23.9,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Metro Manila,2013,"10,590",41.3,0.6,41.9,0.7,0,0,0,0,57.4,58.1,100,97.7,15.1,0,0,79.6,0,0,79.7,94.8,69,,89.2,83.3,99.6,58.5,21.8,95.6,97.9,3,76.8,0,79.9,19.7,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Philippines,Metro Manila,2017,"4,682",17,0,17,0,0,0,0,0,83,83,,,10.4,,,88.2,0,0,88.2,98.7,82.7,84.3,,86.5,,76.8,30.6,95.8,,22.2,0,0,93.1,6.9,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Thailand,Bangkok,2005,"11,333,688",53.3,0,53.4,0.5,0.4,0,4.4,0.1,40.7,41.6,99.4,99.3,11.9,0,0,87.6,0.4,0,88,99.9,93.5,,81.5,96.5,99.3,86.4,,92.4,99.9,4.6,80.1,0.2,84.8,3,UN-Habitat_MICS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Thailand,Bangkok,2015,"8,680",75.1,0,70.3,0,0,0,0.1,0,,0.1,,,21.6,,0,78.1,0.3,0,78.4,,95.1,,78.9,97.2,99.5,87.8,46.8,61.7,99.6,6,87.5,0,93.5,0.6,UN-Habitat_MICS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Timor-Leste,Dili,2009,"9,865",43.7,22.8,66.5,15.6,1.6,3.6,0,0.1,11.3,32.2,98.7,96.8,19.4,0,4.8,55.1,13.3,1.1,74.4,93.8,73.2,,83.2,75.8,99.1,73.4,2.3,87.7,98.6,11,1.6,0.2,12.8,87.2,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Timor-Leste,Dili,2016,"11,304",44.5,6.1,50.6,11.8,5.2,0.1,0,0.2,31,48.4,99,97.6,0,0,5.2,39,34.1,10.9,89.5,89.5,77.2,42.2,90.4,69.6,97.2,77.3,12.6,98.3,98.9,19,3.3,0.9,23.2,76.8,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Viet Nam,Da Nang,2002,291,88.6,0,88.6,,10.3,,0,0,0,10.3,98.9,,,,0,,,,0,,,,,,,66.8,78.7,,,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Viet Nam,Ha Noi,1997,699,48.5,10.3,58.8,,20.5,,18.8,0.4,0,39.6,98.4,87.2,57.4,,21.7,,,,21.7,79.1,,,96.1,,100,64.2,42.6,,100,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Viet Nam,Ha Noi,2002,803,74.8,2.6,77.4,,22.6,,0,0,0,22.6,,100,96.6,,0,,,,0,96.6,,,98.3,,,76.2,75.1,,,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Viet Nam,Ha Noi,2005,491,85.2,1.7,86.9,,7.8,,4.6,0.3,0,12.8,99.7,,97.4,,0,,,,2.6,97.4,87.5,,,,99.7,88.7,91.7,,,0.7,72.6,,73.6,26.1,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Viet Nam,Hai Phong,1997,218,76,17.1,93,,2.1,,4.9,0,0,7,,91,62,,2.2,,,,2.2,64.1,,,97.6,,96.1,68.3,7.8,,,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Viet Nam,Hai Phong,2002,201,96.8,0.5,97.3,,1.4,,1.4,0,0,2.7,,,90.3,,4,,,,4,94.3,,,97.2,,98.9,91,38.9,,,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Viet Nam,Hai Phong,2005,191,86.4,1.7,88.1,,2.8,,8.5,0.2,0.3,11.9,100,,92.2,,2.7,,,,5.1,94.9,91.3,,98.2,100,100,84.4,75.5,,100,0.7,46.9,,47.6,52.4,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Viet Nam,Ho Chi Minh,1997,"1,570",89.4,1.2,90.6,,8.6,,0,0,0,8.6,99.2,61.4,92.5,,1.3,,,,1.3,93.7,,,99.8,,99.5,53.3,40.4,,99.7,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Viet Nam,Ho Chi Minh,2002,"1,406",89.9,0.7,90.6,,8.3,,0,0,0,8.3,99,0,95.8,,0.3,,,,0.3,96.2,,,99,,99.4,64.5,73.8,,99.8,,,,,,UN-Habitat_DHS
South-Eastern Asia,Eastern Asia and South-eastern Asia,Viet Nam,Ho Chi Minh,2005,"1,299",53,0,53,,44.8,,0,0,0.1,44.9,97.9,,99.2,,0.3,,,,0,99.5,96.3,,99.3,99.3,99.8,66.7,75,,,0.5,80.8,,81.3,18.7,UN-Habitat_DHS
South America,Latin America and the Caribbean,Argentina,Buenos Aires,2011,"9,869",0,70.7,70.7,26.9,0,0,0,0,0,26.9,97.6,,,,,,,,,,,,98.3,,,92,63.1,89.9,89.9,,,,,,UN-Habitat_MICS
South America,Latin America and the Caribbean,Argentina,Catamarca,2011,"3,760",0,98.3,98.3,1.4,0,0,0,0,0,1.4,99.8,,,,,,,,,,,,96,,,89.1,43,86.2,86.2,,,,,,UN-Habitat_MICS
South America,Latin America and the Caribbean,Argentina,Córdoba,2011,"3,139",0,93.8,93.8,5.1,0,0,0,0.7,0,5.8,99.6,,,,,,,,,,,,98.7,,,93.3,53.6,85,85,,,,,,UN-Habitat_MICS
South America,Latin America and the Caribbean,Argentina,Corrientes,2011,"3,775",0,96.1,96.1,2.5,0,0,0,0.6,0,3.1,99.2,,,,,,,,,,,,95.4,,,84.5,33.2,91,91,,,,,,UN-Habitat_MICS
South America,Latin America and the Caribbean,Argentina,Formosa,2011,"3,645",0,88.7,88.7,1.4,0,0,0,1.6,0,3,91.7,,,,,,,,,,,,91.7,,,84.1,32.6,89.2,89.2,,,,,,UN-Habitat_MICS
South America,Latin America and the Caribbean,Argentina,La Rioja,2011,"3,803",0,98.4,98.4,0,0,0,0,0.3,0,0.3,98.7,,,,,,,,,,,,97,,,85.8,34.2,92.5,92.5,,,,,,UN-Habitat_MICS
South America,Latin America and the Caribbean,Argentina,Neuquén,2011,"3,193",0,99,99,0.5,0,0,0,0.2,0,0.7,99.7,,,,,,,,,,,,99.5,,,92.2,55.1,95.2,95.2,,,,,,UN-Habitat_MICS
South America,Latin America and the Caribbean,Argentina,Salta,2011,"3,827",0,98,98,0.2,0,0,0,0,0,0.2,98.2,,,,,,,,,,,,89.7,,,80.2,38.8,76.5,76.5,,,,,,UN-Habitat_MICS
South America,Latin America and the Caribbean,Argentina,San Juan,2011,"3,990",0,98.7,98.7,0.6,0,0,0,0,0,0.7,99.4,,,,,,,,,,,,94.9,,,85.7,38.5,90.7,90.7,,,,,,UN-Habitat_MICS
South America,Latin America and the Caribbean,Argentina,Santiago Del Estero,2011,"4,145",0,97.6,97.6,0.9,0,0,0,0.7,0,1.6,99.2,,,,,,,,,,,,93,,,90.2,33.7,90.9,90.9,,,,,,UN-Habitat_MICS
