Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Faaa/Punaauia/Papeete,French Polynesia,Oceania  excluding Australia and New Zealand ,19.41,UN-Habitat Urban Indicators Database,718
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lund,Sweden,Northern America and Europe,89.92,European Commission DG REGIO,719
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Funchal,Portugal,Northern America and Europe,91.69,European Commission DG REGIO,720
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Gombe,Nigeria,Sub-Saharan Africa,7.46,UN-Habitat Urban Indicators Database,721
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kingston,Jamaica,Latin America and the Caribbean ,53.78,UN-Habitat Urban Indicators Database,722
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Khartoum,Sudan,Western Asia  and Northern Africa ,18.42,UN-Habitat Urban Indicators Database,723
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Fürth,Germany,Northern America and Europe,94.94,European Commission DG REGIO,724
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hambantota,Sri-Lanka,Central and Southern Asia ,42.84,UN-Habitat Urban Indicators Database,725
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Iquique,Chile,Latin America and the Caribbean ,88.99,UN-Habitat Urban Indicators Database,726
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Duisburg,Germany,Northern America and Europe,93.57,European Commission DG REGIO,727
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kulob,Tajikistan,Central and Southern Asia ,39.13,UN-Habitat Urban Indicators Database,728
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Glogów,Poland,Northern America and Europe,92.38,European Commission DG REGIO,729
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Iquitos,Peru,Latin America and the Caribbean ,15.51,UN-Habitat Urban Indicators Database,730
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hamburg,Germany,Northern America and Europe,90.5,European Commission DG REGIO,731
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Gomel,Belarus,Northern America and Europe,75.04,UN-Habitat Urban Indicators Database,732
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kathmandu,Nepal,Central and Southern Asia ,56.37,UN-Habitat Urban Indicators Database,733
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Gainesville, FL",United States,Northern America and Europe,73.74,UN-Habitat Urban Indicators Database,734
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Irakleio,Greece,Northern America and Europe,94.24,European Commission DG REGIO,735
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hamhung ,Democratic People's Republic of Korea (North Korea),Eastern and South-Eastern Asia,26.37,UN-Habitat Urban Indicators Database,736
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Khemis Miliana,Algeria,Western Asia  and Northern Africa ,43.24,UN-Habitat Urban Indicators Database,737
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kabul,Afghanistan,Central and Southern Asia ,19.06,UN-Habitat Urban Indicators Database,738
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Galle,Sri-Lanka,Central and Southern Asia ,70.54,UN-Habitat Urban Indicators Database,739
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Gaoyou, Jiangsu",China,Eastern and South-Eastern Asia,59.57,UN-Habitat Urban Indicators Database,740
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Garut Kota,Indonesia,Eastern and South-Eastern Asia,36.52,UN-Habitat Urban Indicators Database,741
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Gaziantep,Turkey,Western Asia  and Northern Africa ,60.6,UN-Habitat Urban Indicators Database,742
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Gazipur,Bangladesh,Central and Southern Asia ,21.94,UN-Habitat Urban Indicators Database,743
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Gdansk,Poland,Northern America and Europe,91.67,European Commission DG REGIO,744
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Gdynia,Poland,Northern America and Europe,95.11,European Commission DG REGIO,745
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Geelong,Australia,Australia and New Zealand ,89.68,UN-Habitat Urban Indicators Database,746
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Gela,Italy,Northern America and Europe,98.21,European Commission DG REGIO,747
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Genève,Switzerland,Northern America and Europe,96.79,European Commission DG REGIO,748
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Genova,Italy,Northern America and Europe,99.5,European Commission DG REGIO,749
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Gent,Belgium,Northern America and Europe,96.36,European Commission DG REGIO,750
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Gera,Germany,Northern America and Europe,85.72,European Commission DG REGIO,751
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Košice,Slovakia,Northern America and Europe,91.84,European Commission DG REGIO,752
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Karachi,Pakistan,Central and Southern Asia ,67.56,UN-Habitat Urban Indicators Database,753
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Koszalin,Poland,Northern America and Europe,90.41,European Commission DG REGIO,754
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Karaj,Iran,Central and Southern Asia ,14.1,UN-Habitat Urban Indicators Database,755
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kozhikode,India,Central and Southern Asia ,45.75,UN-Habitat Urban Indicators Database,756
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Karakol,Kyrgyzstan,Central and Southern Asia ,49.15,UN-Habitat Urban Indicators Database,757
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kragujevac,Serbia,Northern America and Europe,33.58,UN-Habitat Urban Indicators Database,758
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Karlsruhe,Germany,Northern America and Europe,91.69,European Commission DG REGIO,759
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kraków,Poland,Northern America and Europe,93.6,European Commission DG REGIO,760
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kasese,Uganda,Sub-Saharan Africa,21.49,UN-Habitat Urban Indicators Database,761
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Krefeld,Germany,Northern America and Europe,92.04,European Commission DG REGIO,762
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kashan ,Iran,Central and Southern Asia ,22.51,UN-Habitat Urban Indicators Database,763
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Kuwait (includes all the major cities ?awall?, Al-Farw?n?yah, Al-Fin??s, Al-Jahr?', Jan?b al-Kuwayt, Al-Manqaf, Al-Firdaws and Mubar?k al-Kab?r) ",Kuwait,Western Asia  and Northern Africa ,39.02,UN-Habitat Urban Indicators Database,764
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kashmar,Iran,Central and Southern Asia ,19.49,UN-Habitat Urban Indicators Database,765
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Diorbel,Senegal,Sub-Saharan Africa,32.35,UN-Habitat Urban Indicators Database,766
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kyzyl-Kyja,Kyrgyzstan,Central and Southern Asia ,53.83,UN-Habitat Urban Indicators Database,767
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",La Ceiba,Honduras,Latin America and the Caribbean ,20.78,UN-Habitat Urban Indicators Database,768
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",La Chorrera,Panama,Latin America and the Caribbean ,11.28,UN-Habitat Urban Indicators Database,769
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",La Louvière,Belgium,Northern America and Europe,93.63,European Commission DG REGIO,770
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Liberia,Costa Rica,Latin America and the Caribbean ,31.43,UN-Habitat Urban Indicators Database,771
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Khanabad,Afghanistan,Central and Southern Asia ,87.81,UN-Habitat Urban Indicators Database,772
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Dubai (UAE, Ajman, Ash Shariqa and Dubai were combined.)",UAE,Western Asia  and Northern Africa ,41.21,UN-Habitat Urban Indicators Database,773
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Liège,Belgium,Northern America and Europe,93.86,European Commission DG REGIO,774
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Khanpur,Pakistan,Central and Southern Asia ,15.39,UN-Habitat Urban Indicators Database,775
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dublin,Ireland,Northern America and Europe,92.65,European Commission DG REGIO,776
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lahore,Pakistan,Central and Southern Asia ,31.19,UN-Habitat Urban Indicators Database,777
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Liep?ja,Latvia,Northern America and Europe,90.37,European Commission DG REGIO,778
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Landshut,Germany,Northern America and Europe,93.9,European Commission DG REGIO,779
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lille,France,Northern America and Europe,95.14,European Commission DG REGIO,780
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Larkana,Pakistan,Central and Southern Asia ,19.88,UN-Habitat Urban Indicators Database,781
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lima,Peru,Latin America and the Caribbean ,34.16,UN-Habitat Urban Indicators Database,782
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Las Tunas,Cuba,Latin America and the Caribbean ,51.7,UN-Habitat Urban Indicators Database,783
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Limeira,Brazil,Latin America and the Caribbean ,22.82,UN-Habitat Urban Indicators Database,784
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lashio,Myanmar,Eastern and South-Eastern Asia,19.53,UN-Habitat Urban Indicators Database,785
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lashkar Bah,Afghanistan,Central and Southern Asia ,32.7,UN-Habitat Urban Indicators Database,786
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",LasPiedras,Uruguay,Latin America and the Caribbean ,87.54,UN-Habitat Urban Indicators Database,787
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Laucenston,Australia,Australia and New Zealand ,91.86,UN-Habitat Urban Indicators Database,788
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lausanne,Switzerland,Northern America and Europe,96.34,European Commission DG REGIO,789
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lautoka,Fiji,Oceania  excluding Australia and New Zealand ,27.32,UN-Habitat Urban Indicators Database,790
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Layyah,Pakistan,Central and Southern Asia ,11.52,UN-Habitat Urban Indicators Database,791
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Le Havre,France,Northern America and Europe,98.43,European Commission DG REGIO,792
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Le Mans,France,Northern America and Europe,95.79,European Commission DG REGIO,793
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lecce,Italy,Northern America and Europe,97.05,European Commission DG REGIO,794
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Leeds / Bradford,United Kingdom,Northern America and Europe,95.88,European Commission DG REGIO,795
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Leeuwarden,Netherlands,Northern America and Europe,94.26,European Commission DG REGIO,796
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Faisalabad,Pakistan,Central and Southern Asia ,24.88,UN-Habitat Urban Indicators Database,797
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Leicester,United Kingdom,Northern America and Europe,95.25,European Commission DG REGIO,798
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kassala,Sudan,Western Asia  and Northern Africa ,6.86,UN-Habitat Urban Indicators Database,799
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dire Dawa,Ethiopia,Sub-Saharan Africa,24.47,UN-Habitat Urban Indicators Database,800
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Miguel,El Salvador,Latin America and the Caribbean ,33.14,UN-Habitat Urban Indicators Database,801
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Miguel de Tucumán,Argentina,Latin America and the Caribbean ,18.51,UN-Habitat Urban Indicators Database,802
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Pedro de Jujuy,Argentina,Latin America and the Caribbean ,21.54,UN-Habitat Urban Indicators Database,803
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Pedro Sula,Honduras,Latin America and the Caribbean ,17.72,UN-Habitat Urban Indicators Database,804
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Salvador,El Salvador,Latin America and the Caribbean ,46.14,UN-Habitat Urban Indicators Database,805
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",San Salvador,El Salvador,Latin America and the Caribbean ,48.95,UN-Habitat Urban Indicators Database,806
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Philadelphia,United States,Northern America and Europe,59.22,UN-Habitat Urban Indicators Database,807
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Reims,France,Northern America and Europe,97.11,European Commission DG REGIO,808
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Muscat( includes :Bawashar, Matrah, Aseed(Assib))",Oman,Western Asia  and Northern Africa ,30.76,UN-Habitat Urban Indicators Database,809
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Puerto Vallarta,Mexico,Latin America and the Caribbean ,94.82,UN-Habitat Urban Indicators Database,810
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mzuzu,Malawi,Sub-Saharan Africa,21.4,UN-Habitat Urban Indicators Database,811
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Nitra,Slovakia,Northern America and Europe,92.3,European Commission DG REGIO,812
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Melo,Uruguay,Latin America and the Caribbean ,34.97,UN-Habitat Urban Indicators Database,813
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Manila,Philippines,Eastern and South-Eastern Asia,32.46,UN-Habitat Urban Indicators Database,814
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Remscheid,Germany,Northern America and Europe,97.23,European Commission DG REGIO,815
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Muswellbrook,Australia,Australia and New Zealand ,66.2,UN-Habitat Urban Indicators Database,816
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mannheim/Ludwigshafen,Germany,Northern America and Europe,86.32,European Commission DG REGIO,817
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Rennes,France,Northern America and Europe,98.5,European Commission DG REGIO,818
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Myede,Myanmar,Eastern and South-Eastern Asia,31.48,UN-Habitat Urban Indicators Database,819
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Manresa,Spain,Northern America and Europe,98.53,European Commission DG REGIO,820
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Reus,Spain,Northern America and Europe,98.36,European Commission DG REGIO,821
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Myeik,Myanmar,Eastern and South-Eastern Asia,61.57,UN-Habitat Urban Indicators Database,822
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mansfield,United Kingdom,Northern America and Europe,96,European Commission DG REGIO,823
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Reutlingen,Germany,Northern America and Europe,84.69,European Commission DG REGIO,824
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Myitkyina,Myanmar,Eastern and South-Eastern Asia,10.47,UN-Habitat Urban Indicators Database,825
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mantes en Yvelines,France,Northern America and Europe,97.51,European Commission DG REGIO,826
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Reykjavík,Iceland,Northern America and Europe,91.43,European Commission DG REGIO,827
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mymensingh (Nasirabad),Bangladesh,Central and Southern Asia ,29.49,UN-Habitat Urban Indicators Database,828
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Maputo,Mozambique,Sub-Saharan Africa,52.18,UN-Habitat Urban Indicators Database,829
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Milagro,Ecuador,Latin America and the Caribbean ,18.65,UN-Habitat Urban Indicators Database,830
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Salihorsk ,Belarus ,Northern America and Europe,65.16,UN-Habitat Urban Indicators Database,831
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Reynosa,Mexico,Latin America and the Caribbean ,12.35,UN-Habitat Urban Indicators Database,832
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Medan,Indonesia,Eastern and South-Eastern Asia,41.49,UN-Habitat Urban Indicators Database,833
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mys?owice,Poland,Northern America and Europe,92.44,European Commission DG REGIO,834
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Sabadell,Spain,Northern America and Europe,84.17,European Commission DG REGIO,835
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Padova,Italy,Northern America and Europe,89.38,European Commission DG REGIO,836
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Maracaibo,Venezuela,Latin America and the Caribbean ,19.34,UN-Habitat Urban Indicators Database,837
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Radaa,Yemen,Western Asia  and Northern Africa ,55.01,UN-Habitat Urban Indicators Database,838
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ribeirao Preto,Brazil,Latin America and the Caribbean ,98.35,UN-Habitat Urban Indicators Database,839
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Osijek,Croatia,Northern America and Europe,89.87,European Commission DG REGIO,840
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Palembang,Indonesia,Eastern and South-Eastern Asia,52.46,UN-Habitat Urban Indicators Database,841
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Maicao,Colombia,Latin America and the Caribbean ,14.11,UN-Habitat Urban Indicators Database,842
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Rijeka,Croatia,Northern America and Europe,92.3,European Commission DG REGIO,843
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Oskemen,Kazakhstan,Central and Southern Asia ,38.95,UN-Habitat Urban Indicators Database,844
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Palencia,Spain,Northern America and Europe,99.07,European Commission DG REGIO,845
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Medellín,Colombia,Latin America and the Caribbean ,38.35,UN-Habitat Urban Indicators Database,846
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Río Bravo (Ciudad Río Bravo),Mexico,Latin America and the Caribbean ,9.35,UN-Habitat Urban Indicators Database,847
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Río Cuarto,Argentina,Latin America and the Caribbean ,29.8,UN-Habitat Urban Indicators Database,848
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Riobamba,Ecuador,Latin America and the Caribbean ,42.58,UN-Habitat Urban Indicators Database,849
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Riviera,Uruguay,Latin America and the Caribbean ,23.04,UN-Habitat Urban Indicators Database,850
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Riyadh,Saudi Arabia,Western Asia  and Northern Africa ,8.63,UN-Habitat Urban Indicators Database,851
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Roma,Italy,Northern America and Europe,96.14,European Commission DG REGIO,852
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Roosendaal,Netherlands,Northern America and Europe,88.66,European Commission DG REGIO,853
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Rosario,Argentina,Latin America and the Caribbean ,90.62,UN-Habitat Urban Indicators Database,854
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Rosenheim,Germany,Northern America and Europe,98.22,European Commission DG REGIO,855
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Rostock,Germany,Northern America and Europe,93.68,European Commission DG REGIO,856
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Nabulus(Nablus),Palestinian territories ,Western Asia  and Northern Africa ,15.17,UN-Habitat Urban Indicators Database,857
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Norrköping,Sweden,Northern America and Europe,85.89,European Commission DG REGIO,858
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Saint Petersburg,Russia,Northern America and Europe,90.21,UN-Habitat Urban Indicators Database,859
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Pune,India,Central and Southern Asia ,75.08,UN-Habitat Urban Indicators Database,860
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Nacala Porto,Mozambique,Sub-Saharan Africa,26.26,UN-Habitat Urban Indicators Database,861
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Punta Arenas,Chile,Latin America and the Caribbean ,14.43,UN-Habitat Urban Indicators Database,862
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Rákosliget,Hungary,Northern America and Europe,90.27,European Commission DG REGIO,863
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Nadi,Fiji,Oceania  excluding Australia and New Zealand ,32.28,UN-Habitat Urban Indicators Database,864
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Puntar Arenas_Barranca,Costa Rica,Latin America and the Caribbean ,26.42,UN-Habitat Urban Indicators Database,865
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Makkah,Saudi Arabia,Western Asia  and Northern Africa ,5.49,UN-Habitat Urban Indicators Database,866
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Nairobi,Kenya,Sub-Saharan Africa,58.03,UN-Habitat Urban Indicators Database,867
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Purmerend,Netherlands,Northern America and Europe,97.07,European Commission DG REGIO,868
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Morena,India,Central and Southern Asia ,15.46,UN-Habitat Urban Indicators Database,869
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Melun,France,Northern America and Europe,97.4,European Commission DG REGIO,870
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mendoza,Argentina,Latin America and the Caribbean ,85.86,UN-Habitat Urban Indicators Database,871
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Palmas,Brazil,Latin America and the Caribbean ,11.5,UN-Habitat Urban Indicators Database,872
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mercedes,Uruguay,Latin America and the Caribbean ,62.53,UN-Habitat Urban Indicators Database,873
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Meru,Kenya,Sub-Saharan Africa,18.9,UN-Habitat Urban Indicators Database,874
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Mesaieed,Qatar,Western Asia  and Northern Africa ,16.82,UN-Habitat Urban Indicators Database,875
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Messina,Italy,Northern America and Europe,98.06,European Commission DG REGIO,876
